date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:18:49	25559/25559	U-----	200	untouched ('')	image/png	etag:%221d505a7368a4f57%22	https://www.learnrazorpages.com/images/17-05-2018-09-23-20.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/17-05-2018-09-23-20.png	(from https://www.learnrazorpages.com/web-api)
05:19:35	12878/12878	U-----	200	untouched ('')	image/png	etag:%221d505a73722f14e%22	https://www.learnrazorpages.com/images/18-05-2018-07-57-14.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/18-05-2018-07-57-14.png	(from https://www.learnrazorpages.com/web-api)
05:19:35	13540/13540	U-----	200	untouched ('')	image/png	etag:%221d505a73722f7e4%22	https://www.learnrazorpages.com/images/17-05-2018-15-37-41.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/17-05-2018-15-37-41.png	(from https://www.learnrazorpages.com/web-api)
05:19:35	13568/13568	U-----	200	untouched ('')	image/png	etag:%221d505a73722f600%22	https://www.learnrazorpages.com/images/17-05-2018-15-23-46.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/17-05-2018-15-23-46.png	(from https://www.learnrazorpages.com/web-api)
05:19:35	27823/27823	U-----	200	untouched ('')	image/png	etag:%221d505a73427be2f%22	https://www.learnrazorpages.com/images/11-12-2018-10-27-30.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/11-12-2018-10-27-30.png	(from https://www.learnrazorpages.com/miscellaneous/scaffolding)
05:19:36	13197/13197	U-----	200	untouched ('')	image/png	etag:%221d505a740ac188d%22	https://www.learnrazorpages.com/images/reverse-proxy.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/reverse-proxy.png	(from https://www.learnrazorpages.com/publishing/publish-to-iis)
05:19:36	13112/13112	U-----	200	untouched ('')	image/png	etag:%221d505a737bb6ab8%22	https://www.learnrazorpages.com/images/19-03-2018-08-24-28.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/19-03-2018-08-24-28.png	(from https://www.learnrazorpages.com/publishing/publish-to-iis)
05:19:39	7026/7026	U-----	200	untouched ('')	image/png	etag:%221d505a737bb42f2%22	https://www.learnrazorpages.com/images/19-03-2018-09-15-06.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/19-03-2018-09-15-06.png	(from https://www.learnrazorpages.com/publishing/publish-to-iis)
05:19:39	11514/11514	U-----	200	untouched ('')	image/png	etag:%221d505a737bb757a%22	https://www.learnrazorpages.com/images/19-03-2018-08-26-07.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/19-03-2018-08-26-07.png	(from https://www.learnrazorpages.com/publishing/publish-to-iis)
05:19:39	14237/14237	U-----	200	untouched ('')	image/png	etag:%221d505a737bb6e1d%22	https://www.learnrazorpages.com/images/19-03-2018-08-28-15.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/19-03-2018-08-28-15.png	(from https://www.learnrazorpages.com/publishing/publish-to-iis)
05:19:39	12507/12507	U-----	200	untouched ('')	image/png	etag:%221d505a737bb695b%22	https://www.learnrazorpages.com/images/19-03-2018-08-27-24.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/19-03-2018-08-27-24.png	(from https://www.learnrazorpages.com/publishing/publish-to-iis)
